Codigo,Part. (%)
ALOS3,"0,514"
ALPA4,"0,055"
ABEV3,"2,649"
ASAI3,"0,473"
AURE3,"0,140"
AZUL4,"0,089"
AZZA3,"0,237"
B3SA3,"2,772"
BBSE3,"1,021"
BBDC3,"0,906"
BBDC4,"3,569"
BRAP4,"0,230"
BBAS3,"3,454"
BRKM5,"0,220"
BRAV3,"0,367"
BRFS3,"0,965"
BPAC11,"1,970"
CXSE3,"0,348"
CRFB3,"0,179"
CCRO3,"0,562"
CMIG4,"0,981"
COGN3,"0,123"
CPLE6,"0,771"
CSAN3,"0,654"
CPFE3,"0,284"
CMIN3,"0,310"
CVCB3,"0,051"
CYRE3,"0,261"
ELET3,"3,145"
ELET6,"0,528"
EMBR3,"1,709"
ENGI11,"0,645"
ENEV3,"1,108"
EGIE3,"0,485"
EQTL3,"1,852"
EZTC3,"0,061"
FLRY3,"0,319"
GGBR4,"1,067"
GOAU4,"0,315"
NTCO3,"0,555"
HAPV3,"0,799"
HYPE3,"0,458"
IGTI11,"0,207"
IRBR3,"0,167"
ITSA4,"2,735"
ITUB4,"7,313"
JBSS3,"1,931"
KLBN11,"0,731"
RENT3,"1,914"
LREN3,"0,818"
LWSA3,"0,083"
MGLU3,"0,151"
MRFG3,"0,213"
BEEF3,"0,070"
MRVE3,"0,122"
MULT3,"0,370"
PCAR3,"0,054"
PETR3,"4,459"
PETR4,"7,409"
RECV3,"0,214"
PRIO3,"1,502"
PETZ3,"0,070"
RADL3,"1,425"
RAIZ4,"0,157"
RDOR3,"1,602"
RAIL3,"1,124"
SBSP3,"2,922"
SANB11,"0,454"
STBP3,"0,500"
SMTO3,"0,168"
CSNA3,"0,402"
SLCE3,"0,155"
SUZB3,"1,745"
TAEE11,"0,350"
VIVT3,"0,982"
TIMS3,"0,613"
TOTS3,"0,732"
TRPL4,"0,446"
UGPA3,"1,068"
USIM5,"0,154"
VALE3,"12,427"
VAMO3,"0,141"
VBBR3,"1,055"
VIVA3,"0,146"
WEGE3,"3,355"
YDUQ3,"0,143"
