Ticker,Weight (%)
NVDA,10.27
AAPL,9.71
MSFT,8.95
AMZN,5.55
META,3.58
GOOGL,2.97
BRKB,2.46
GOOG,2.46
AVGO,2.40
TSLA,2.30
JPM,2.02
LLY,1.76
UNH,1.58
XOM,1.54
V,1.47
MA,1.23
COST,1.14
HD,1.10
JNJ,1.09
PG,1.09
WMT,1.04
ABBV,1.02
NFLX,0.96
BAC,0.88
CRM,0.85
ORCL,0.83
CVX,0.77
MRK,0.73
KO,0.71
WFC,0.71
AMD,0.67
CSCO,0.67
PEP,0.65
ADBE,0.64
ACN,0.64
LIN,0.64
TMO,0.61
MCD,0.60
ABT,0.58
CAT,0.58
IBM,0.56
TXN,0.56
GE,0.56
PM,0.56
QCOM,0.55
GS,0.54
INTU,0.52
DIS,0.51
CMCSA,0.50
VZ,0.50
AMGN,0.50
BKNG,0.48
AXP,0.48
MS,0.47
RTX,0.46
T,0.46
DHR,0.46
PFE,0.44
NEE,0.44
UNP,0.43
LOW,0.43
BLK,0.41
HON,0.40
COP,0.38
C,0.38
LMT,0.34
MDT,0.33
GILD,0.33
TMUS,0.33
SCHW,0.32
BMY,0.32
SBUX,0.31
BA,0.31
INTC,0.31
DE,0.30
UPS,0.28
SO,0.27
MO,0.27
AMT,0.26
NKE,0.26
MDLZ,0.25
DUK,0.25
PYPL,0.24
USB,0.23
GD,0.23
CVS,0.22
CL,0.21
MMM,0.21
COF,0.21
EMR,0.21
TGT,0.19
FDX,0.18
GM,0.18
BK,0.17
SPG,0.15
XTSLA,0.15
AIG,0.14
MET,0.14
F,0.13
CHTR,0.11
DOW,0.10
KHC,0.08
USD,0.03
MSFUT,0.01
ESZ4,0.00
